卡	段落	誰	提案	觸發	審閱	決定	全文
inv-077	問管理員那台螢幕	管理員	stare	管理員：（抬頭）這一招你用過。〔抬頭→stare〕	OK		旁白：管理室的窗口開著。裡面那台電風扇轉到底，對著人吹。 ／ 玩家：我想再問一次那個來問本子的人。 ／ 管理員：住戶的事我不講。 ／ 玩家：那我換一個問法。 ／ 管理員：（抬頭）這一招你用過。 ／ 玩家：哪一招。 ／ 管理員：先問一個我不能講的，再問一個我可以講的。 ／ 玩家：有效嗎。 ／ 管理員：有效。我還是不講。 ／ 玩家：…… ／ 玩家：（指螢幕）那台可以關掉嗎。 ／ 管理員：可以。插頭在我這裡。 ／ 玩家：你關過嗎。 ／ 管理員：關它幹嘛。 ／ 管理員：那台是公司來裝的。以前上面排我的繳費期限，現在排廣告。我改貼紙的，貼旁邊。 ／ 管理員：一輪十二支。 ／ 玩家：一天播幾輪。 ／ 管理員：我開窗到關窗它都在播。 ／ 玩家：她排第幾支。 ／ 管理員：第三支。 ／ 玩家：她講什麼。 ／ 管理員：不知道。 ／ 玩家：你每天聽。 ／ 管理員：我每天坐在這裡。我沒有在聽。
inv-082	問管理員那個穿西裝的	管理員	report	管理員：（沒有放下報表）這棟樓沒有外人。外人我看得出來。〔報表→report〕	OK		玩家：晚上七點多，一樓有一個人站在信箱前面。 ／ 管理員：（沒有放下報表）這棟樓沒有外人。外人我看得出來。 ／ 玩家：你怎麼知道我說的是誰。 ／ 管理員：我沒有說我知道。 ／ 玩家：（翻開筆記）身高。 ／ 管理員：很高。 ／ 玩家：衣服。 ／ 管理員：西裝。 ／ 玩家：帽子。 ／ 管理員：……帽子我沒印象。 ／ 玩家：走路。 ／ 管理員：他都走樓梯。 ／ 管理員：我在窗口坐一整天。搭電梯的從我前面走過去，走樓梯的從我後面。 ／ 管理員：他從來沒有從我前面走過。 ／ 玩家：他住幾樓。 ／ 管理員：住戶的事我不講。 ／ 玩家：那他住多久了。 ／ 管理員：（想了一下）不是新的。 ／ 玩家：幾年。 ／ 管理員：不知道。 ／ 管理員：這棟樓我看了二十年。還在的我全部認得，走路的樣子我就認得。 ／ 玩家：他叫什麼。 ／ 管理員：你問這個我就不講了。
inv-083	問管理員那個穿西裝的	管理員	report	（沿用前一張）	OK		玩家：管理員給的那一份。 很高。西裝。帽子他沒印象。他都走樓梯。 這是第二份。我自己那一份是「高個子，穿西裝」。 兩份重疊兩樣，多出來一樣，空掉一樣。 名字問不到，樓層問不到。他說我問這個他就不講了。
inv-095	問管理員這附近晚上還有什麼開著	管理員	stare	管理員：（想了一下）隔壁那家洗衣店。投幣的那種，沒有人顧。〔想了一下→stare〕	OK		玩家：這附近晚上還有什麼開著。 ／ 管理員：便利商店。二十四小時。 ／ 玩家：還有嗎。 ／ 管理員：（想了一下）隔壁那家洗衣店。投幣的那種，沒有人顧。 ／ 管理員：燈整晚亮著，電費算在房東頭上。 ／ 玩家：有人去嗎。 ／ 管理員：有。烘乾一輪四十分鐘，那四十分鐘他們走不掉。
inv-096	問管理員這附近晚上還有什麼開著	管理員	stare	（沿用前一張）	OK		玩家：管理員說隔壁那家洗衣店投幣的，沒有人顧，燈整晚亮著。 烘乾一輪四十分鐘。那四十分鐘他們走不掉。
inv-098	問管理員樓上修收音機的那個	管理員	report	管理員：（放下報表）他修了嗎。〔報表→report〕	OK		旁白：他把窗口推開，手上拿著一張報表。 ／ 管理員：他有沒有跟你收錢。 ／ 玩家：沒有。 ／ 管理員：（放下報表）他修了嗎。 ／ 玩家：沒有。他說裡面有毛。 ／ 管理員：那不算。 ／ 玩家：…… ／ 管理員：他修了才算。你那台他沒修。 ／ 玩家：你這個問題問多久了。 ／ 管理員：（想了一下）二十年。 ／ 玩家：你自己上去問不就好了。 ／ 管理員：我管到樓梯口。 ／ 管理員：而且他比我早。 ／ 玩家：早多少。 ／ 管理員：不知道。我來的時候樓下騎樓那家店就開著了，招牌都曬白了。 ／ 玩家：你們講過幾句話。 ／ 管理員：講什麼。 ／ 玩家：隨便。 ／ 管理員：他下來我點頭，他上去我點頭。 ／ 管理員：颱風那次他問我頂樓的排水口通了沒有。我說通了。 ／ 管理員：那是前年。
inv-100	信箱第三排那兩格	管理員	report	管理員：（把報表翻到下一頁）沒有回。〔報表→report〕	OK		管理員：第三排那兩格沒有門。 ／ 玩家：本來有嗎。 ／ 管理員：有。報修單我寫過四次。 ／ 玩家：他們怎麼回。 ／ 管理員：（把報表翻到下一頁）沒有回。 ／ 玩家：那你還寫。 ／ 管理員：我寫我的。
inv-112	問諾亞那個客人叫什麼	諾亞	down	修收音機的：（沒有抬頭）買線那個。〔沒有抬頭→down〕	OK		玩家：我想問一下你那個客人。 ／ 修收音機的：（沒有抬頭）買線那個。 ／ 玩家：她叫格莉奇。 ／ 修收音機的：喔。 ／ 玩家：你聽過這個名字？ ／ 修收音機的：沒有。 ／ 玩家：可是你剛剛說喔。 ／ 修收音機的：嗯。 ／ 玩家：……那我換一個問法。她有沒有跟你講過她在做什麼。 ／ 修收音機的：講過。她說她在網路上講話，然後有人看。 ／ 玩家：她有沒有說有多少人看。 ／ 修收音機的：七個。 ／ 玩家：七個？ ／ 修收音機的：她說兩年前是七個。現在比較多。 ／ 玩家：多多少。 ／ 修收音機的：她講了一個數字。我沒有記住。
inv-113	問諾亞那個客人叫什麼	諾亞	down	（沿用前一張）	OK		玩家：頂樓。我跟他講了她的名字。他沒有反應，也沒有問我那是誰。 這棟樓的螢幕上一直有她。樓上這個人不知道她叫什麼。 他知道的是：她在網路上講話，然後有人看。兩年前七個。 他記得七，不記得後面那個數字。 大概是因為七比較好記。
inv-118	問諾亞她是不是不對勁	諾亞	down	修收音機的：（沒有抬頭）問。〔沒有抬頭→down〕	OK		玩家：我可以問一件事嗎。 ／ 修收音機的：（沒有抬頭）問。 ／ 玩家：你有沒有覺得她哪裡不對勁。 ／ 修收音機的：哪裡。 ／ 玩家：她每個禮拜來三次，每次都問一樣的問題。 ／ 修收音機的：對。 ／ 玩家：你不覺得那不正常。 ／ 修收音機的：她要買線，我有線。 ／ 玩家：我不是在講線。 ／ 修收音機的：我知道。 ／ 旁白：他把手上那根管子對著燈看了一下，放回去。
inv-119	問諾亞她是不是不對勁	諾亞	down	（沿用前一張）	OK		玩家：我問他覺不覺得她不正常。 他說她要買線，他有線。我說我不是在講線，他說他知道。 然後他就繼續弄他的了。 這個人給不了我要的答案。他沒有那個答案，因為他從來沒有問過那個問題。
inv-123	把信箱那一頁拿給他看	諾亞	down	旁白：修收音機的沒有停手。看了一眼。〔沒有停手→down〕	OK		旁白：她把本子翻到抄信箱的那一頁，攤在檯面上。 ／ 玩家：一樓的信箱。有名牌的十一格。 ／ 旁白：修收音機的沒有停手。看了一眼。 ／ 修收音機的：（用鉗子尖點了其中一格）這個搬走了。 ／ 玩家：什麼時候。 ／ 修收音機的：不知道。信箱還在。 ／ 玩家：其他的呢。 ／ 修收音機的：不知道。我認東西。
inv-124	把信箱那一頁拿給他看	諾亞	down	（沿用前一張）	OK		旁白：包包還在她手上。 她沒有走。
inv-127	把信箱那一頁拿給他看	諾亞	down	（沿用前一張）	OK		玩家：十一格裡有一格搬走了。他沒說是哪一年。 我在那一格旁邊畫了一個問號。其他十格我沒有動。 他認得那格信箱，不認得住裡面的人。
